var1,var2
0,0
1,0.44
2,0.93
3,1.47
4,1.95
5,2.51
6,3.04
7,3.53
8,3.95
9,4.55
10,5
11,5.49
12,6.03
13,6.5
14,7.01
15,7.45
16,7.96
17,8.62
18,8.92
19,9.49
20,10.04
21,10.53
22,11.04
23,11.55
24,12
25,12.5
